City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Gaoua,BF,83.07,overcast clouds,10.2992,-3.2508,
5,Benguela,AO,80.58,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
10,Port Alfred,ZA,69.01,broken clouds,-33.5906,26.891,The Halyards Hotel
12,Yaring,TH,73.8,overcast clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
13,Port Macquarie,AU,79.0,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
16,Namatanai,PG,81.1,light rain,-3.6667,152.4333,Namatanai Hotel
20,Victoria,HK,66.99,overcast clouds,22.2855,114.1577,Mini Hotel Central
36,Grand-Santi,GF,73.89,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
37,Atuona,PF,79.83,scattered clouds,-9.8,-139.0333,Villa Enata
38,Arraial Do Cabo,BR,75.45,light rain,-22.9661,-42.0278,Pousada Porto Praia
46,Caravelas,BR,78.82,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
48,Huarmey,PE,73.38,broken clouds,-10.0681,-78.1522,Hotel Miramar
51,Lorengau,PG,79.79,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,East London,ZA,68.56,broken clouds,-33.0153,27.9116,Tu Casa
59,Yaan,NG,82.47,scattered clouds,7.3833,8.5667,
60,Rikitea,PF,80.82,moderate rain,-23.1203,-134.9692,Pension Maro'i
61,Na Klang,TH,79.0,light rain,17.3072,102.1889,สบายดี รีสอร์ท (อ.นากลาง จ.หนองบัวลำภู)
65,Kapaa,US,75.2,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
68,Broken Hill,AU,75.2,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
70,Hualmay,PE,72.82,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
71,Banda Aceh,ID,78.3,broken clouds,5.5577,95.3222,Sulthan Hotel International
75,Vila Velha,BR,82.0,heavy intensity rain,-20.3297,-40.2925,Quality Suites Vila Velha
76,Puerto Ayora,EC,82.0,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
77,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
79,Port Loko,SL,82.4,haze,8.7667,-12.7833,MJ Motel
81,Maracanau,BR,81.0,few clouds,-3.8767,-38.6256,Paiva de Sousa Motel
83,Kununurra,AU,87.8,broken clouds,-15.7667,128.7333,Hotel Kununurra
85,Guaruja,BR,75.0,moderate rain,-23.9931,-46.2564,Charme Hotel Guarujá
86,Georgetown,MY,78.8,scattered clouds,5.4112,100.3354,Cititel Penang
90,Ocho Rios,JM,77.0,few clouds,18.4025,-77.1048,Rooms Ocho Rios Hotel
92,Santa Isabel,BR,69.8,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
93,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
95,Kirakira,SB,83.16,overcast clouds,-10.4544,161.9205,SanBiz Lodge
96,Vaini,TO,86.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
99,Iberia,US,66.2,clear sky,29.9502,-91.7507,back to back rv park
102,Mar Del Plata,AR,75.99,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
104,Vilcun,CL,68.0,clear sky,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
105,Bambous Virieux,MU,78.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
