City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Skoppum,NO,2021-03-07 23:46:06,59.3833,10.4167,32.0,40,18,3.44,few clouds
1,Guerrero Negro,MX,2021-03-07 23:46:06,27.9769,-114.0611,62.4,60,18,16.53,few clouds
2,Gaoua,BF,2021-03-07 23:46:07,10.2992,-3.2508,83.07,50,91,4.59,overcast clouds
3,Vostok,RU,2021-03-07 23:46:07,46.4856,135.8833,12.02,95,100,4.97,overcast clouds
4,Pevek,RU,2021-03-07 23:46:08,69.7008,170.3133,-16.06,88,100,21.99,light snow
5,Benguela,AO,2021-03-07 23:46:09,-12.5763,13.4055,80.58,76,100,5.73,overcast clouds
6,Upernavik,GL,2021-03-07 23:46:09,72.7868,-56.1549,-18.74,81,0,13.0,clear sky
7,Mataura,NZ,2021-03-07 23:46:09,-46.1927,168.8643,55.0,74,97,11.01,overcast clouds
8,Chapaevsk,RU,2021-03-07 23:46:10,52.9813,49.7112,23.0,93,75,17.9,snow
9,Vardo,NO,2021-03-07 23:46:10,70.3705,31.1107,15.8,86,20,11.5,few clouds
10,Port Alfred,ZA,2021-03-07 23:46:11,-33.5906,26.891,69.01,86,51,3.0,broken clouds
11,Nantucket,US,2021-03-07 23:43:07,41.2835,-70.0995,30.2,55,1,4.61,clear sky
12,Yaring,TH,2021-03-07 23:46:11,6.8662,101.3689,73.8,87,99,7.0,overcast clouds
13,Port Macquarie,AU,2021-03-07 23:46:12,-31.4333,152.9167,79.0,71,56,1.01,broken clouds
14,Karasburg,NA,2021-03-07 23:46:13,-28.0167,18.75,68.23,36,0,13.58,clear sky
15,Bilibino,RU,2021-03-07 23:46:13,68.0546,166.4372,-21.89,82,100,4.14,light snow
16,Namatanai,PG,2021-03-07 23:46:14,-3.6667,152.4333,81.1,78,100,8.59,light rain
17,Sitka,US,2021-03-07 23:46:14,57.0531,-135.33,44.6,65,75,8.05,broken clouds
18,Punta Arenas,CL,2021-03-07 23:44:38,-53.15,-70.9167,42.8,75,40,20.71,light rain
19,Sundsvall,SE,2021-03-07 23:46:15,62.3913,17.3063,26.01,58,0,6.91,clear sky
20,Victoria,HK,2021-03-07 23:43:57,22.2855,114.1577,66.99,86,92,18.01,overcast clouds
21,Eatonton,US,2021-03-07 23:41:23,33.3268,-83.3885,57.2,28,1,2.13,clear sky
22,Khovu-Aksy,RU,2021-03-07 23:46:16,51.1333,93.6,10.67,81,90,3.74,overcast clouds
23,Lagoa,PT,2021-03-07 23:46:16,39.05,-27.9833,60.19,97,96,11.48,overcast clouds
24,Barrow,US,2021-03-07 23:46:17,71.2906,-156.7887,-11.2,70,90,18.41,haze
25,Hermanus,ZA,2021-03-07 23:46:17,-34.4187,19.2345,61.0,91,99,7.31,overcast clouds
26,Lompoc,US,2021-03-07 23:42:39,34.6391,-120.4579,57.99,62,90,9.22,overcast clouds
27,Srednekolymsk,RU,2021-03-07 23:46:18,67.45,153.6833,-14.01,88,99,11.14,overcast clouds
28,Dongning,CN,2021-03-07 23:46:18,44.0622,131.1207,24.28,89,11,3.24,few clouds
29,Narsaq,GL,2021-03-07 23:46:18,60.9167,-46.05,30.2,86,75,9.22,light snow
30,Hobart,AU,2021-03-07 23:46:19,-42.8794,147.3294,64.99,67,75,4.61,broken clouds
31,Busselton,AU,2021-03-07 23:46:19,-33.65,115.3333,64.99,86,99,1.99,light rain
32,Bluff,NZ,2021-03-07 23:46:20,-46.6,168.3333,55.0,74,95,11.01,overcast clouds
33,Tuatapere,NZ,2021-03-07 23:46:20,-46.1333,167.6833,55.0,74,93,11.01,moderate rain
34,Nikolskoye,RU,2021-03-07 23:46:20,59.7035,30.7861,21.2,86,90,11.18,snow
35,Saskylakh,RU,2021-03-07 23:46:21,71.9167,114.0833,-33.52,83,74,3.44,broken clouds
36,Grand-Santi,GF,2021-03-07 23:46:21,4.25,-54.3833,73.89,95,97,4.52,overcast clouds
37,Atuona,PF,2021-03-07 23:46:22,-9.8,-139.0333,79.83,73,29,11.36,scattered clouds
38,Arraial Do Cabo,BR,2021-03-07 23:46:22,-22.9661,-42.0278,75.45,83,100,4.14,light rain
39,Uglegorsk,RU,2021-03-07 23:46:23,49.0833,142.0333,16.9,89,46,1.61,scattered clouds
40,Peleduy,RU,2021-03-07 23:46:23,59.6289,112.7406,20.05,96,97,11.21,light snow
41,New Norfolk,AU,2021-03-07 23:46:23,-42.7826,147.0587,64.99,65,99,1.99,overcast clouds
42,Ponta Delgada,PT,2021-03-07 23:44:47,37.7333,-25.6667,60.8,94,75,4.61,broken clouds
43,Baykit,RU,2021-03-07 23:46:24,61.67,96.37,10.67,91,92,7.72,overcast clouds
44,Bredasdorp,ZA,2021-03-07 23:46:25,-34.5322,20.0403,60.8,82,100,3.44,overcast clouds
45,Provideniya,RU,2021-03-07 23:46:25,64.3833,-173.3,33.6,93,100,17.74,snow
46,Caravelas,BR,2021-03-07 23:44:30,-17.7125,-39.2481,78.82,83,51,8.46,broken clouds
47,Johnston,US,2021-03-07 23:46:26,35.5335,-78.3997,46.4,29,1,3.62,clear sky
48,Huarmey,PE,2021-03-07 23:46:26,-10.0681,-78.1522,73.38,79,69,8.23,broken clouds
49,Carthage,TN,2021-03-07 23:46:27,36.8611,10.3316,59.0,77,20,9.22,few clouds
50,Fortuna,US,2021-03-07 23:46:27,40.5982,-124.1573,52.0,62,1,12.66,clear sky
51,Lorengau,PG,2021-03-07 23:46:28,-2.0226,147.2712,79.79,80,100,5.17,overcast clouds
52,Aykhal,RU,2021-03-07 23:46:28,66.0,111.5,4.32,92,100,3.56,overcast clouds
53,Thompson,CA,2021-03-07 23:45:09,55.7435,-97.8558,42.8,45,20,11.5,few clouds
54,East London,ZA,2021-03-07 23:46:29,-33.0153,27.9116,68.56,80,57,5.19,broken clouds
55,Avera,US,2021-03-07 23:46:29,33.194,-82.5271,53.6,24,1,4.61,clear sky
56,Egham,GB,2021-03-07 23:46:30,51.4316,-0.5524,35.6,75,0,2.3,clear sky
57,Novooleksiyivka,UA,2021-03-07 23:46:30,46.2269,34.6428,33.94,85,0,15.5,clear sky
58,Nome,US,2021-03-07 23:46:31,64.5011,-165.4064,30.99,93,90,23.02,snow
59,Yaan,NG,2021-03-07 23:46:31,7.3833,8.5667,82.47,64,40,12.39,scattered clouds
60,Rikitea,PF,2021-03-07 23:46:32,-23.1203,-134.9692,80.82,79,100,16.82,moderate rain
61,Na Klang,TH,2021-03-07 23:46:32,17.3072,102.1889,79.0,100,75,3.44,light rain
62,Sorland,NO,2021-03-07 23:46:32,67.667,12.6934,33.62,93,100,16.82,snow
63,Kungurtug,RU,2021-03-07 23:46:33,50.5994,97.5228,7.84,84,12,1.7,few clouds
64,Grindavik,IS,2021-03-07 23:46:33,63.8424,-22.4338,41.0,93,90,17.27,overcast clouds
65,Kapaa,US,2021-03-07 23:46:34,22.0752,-159.319,75.2,69,40,16.11,light rain
66,Aklavik,CA,2021-03-07 23:46:34,68.2191,-135.0107,-7.6,70,70,6.91,broken clouds
67,Albany,US,2021-03-07 23:44:04,42.6001,-73.9662,28.0,37,56,11.01,broken clouds
68,Broken Hill,AU,2021-03-07 23:46:35,-31.95,141.4333,75.2,33,92,9.22,overcast clouds
69,Kodiak,US,2021-03-07 23:45:11,57.79,-152.4072,44.6,49,1,9.22,clear sky
70,Hualmay,PE,2021-03-07 23:46:36,-11.0964,-77.6139,72.82,81,63,9.19,broken clouds
